year|app_sex|freq_pct|count
2004|1|59|19856343
2004|2|27|9015409
2004|3|6|2120023
2004|4|8|2638699
2005|1|57|20951405
2005|2|28|10180812
2005|3|7|2434585
2005|4|8|2890434
2006|1|54|18368256
2006|2|28|9522450
2006|3|7|2449426
2006|4|11|3815228
2007|1|56|15069150
2007|2|28|7499350
2007|3|7|1826881
2007|4|9|2306711
2008|1|59|10340093
2008|2|27|4760731
2008|3|6|1119714
2008|4|7|1310702
2009|1|59|11595453
2009|2|24|4728230
2009|3|6|1128961
2009|4|11|2121848
2010|1|62|10324746
2010|2|25|4124174
2010|3|6|1068031
2010|4|7|1235029
2011|1|60|8948506
2011|2|24|3578386
2011|3|6|920863
2011|4|10|1458691
2012|1|62|11601554
2012|2|24|4485884
2012|3|6|1159939
2012|4|8|1504684
2013|1|60|10205399
2013|2|25|4243756
2013|3|6|1045636
2013|4|9|1518546
2014|1|58|6893910
2014|2|25|2970388
2014|3|6|713509
2014|4|11|1297657
2015|1|58|8321756
2015|2|25|3565129
2015|3|6|857304
2015|4|11|1629995
2016|1|58|9526085
2016|2|25|4127128
2016|3|6|1045053
2016|4|10|1634721
