year|denial_1|freq_pct
2004| |1.0886856755593739
2004|1|1.00392182734063921737
2004|2|0.11455114393711082223
2004|3|2.1608783853686403
2004|4|0.31081743636339101373
2004|5|0.11260197525755265379
2004|6|0.14533801333731163659
2004|7|0.76667301395954625352
2004|8|0.00594746340685697550
2004|9|0.76192503897087892014
2005| |0.87902509579664273187
2005|1|0.69590319728635736858
2005|2|0.08701288900284028862
2005|3|1.5546369473419587
2005|4|0.27833129170408820638
2005|5|0.08561348584828570615
2005|6|0.10025724028701758700
2005|7|0.50878300404877319823
2005|8|0.00279880630910916494
2005|9|0.86453127741018455629
2006| |1.0321597838521870
2006|1|0.75872640318903987449
2006|2|0.07351864429820681479
2006|3|1.4937129314347431
2006|4|0.32086315186572926647
2006|5|0.06627173510497772700
2006|6|0.09261050162105861850
2006|7|0.33215833447034839641
2006|8|0.00394831604320757197
2006|9|0.34305368760223764564
2007| |2.3340545257447699
2007|1|1.4639256357163670
2007|2|0.13379293731223633120
2007|3|2.5950931927532907
2007|4|0.78701433838467893443
2007|5|0.10810389368934149585
2007|6|0.16897793091246583332
2007|7|0.40222844956625999011
2007|8|0.00374840130684263162
2007|9|0.54941567421494732497
2008| |9.6260944707082429
2008|1|4.8137969156154900
2008|2|0.36459450044555996867
2008|3|5.6297489120889940
2008|4|4.2511868688004566
2008|5|0.46760056835759548553
2008|6|0.78036717340054466770
2008|7|1.8693027423803748
2008|8|0.01369415944099841418
2008|9|1.8430139545483851
2009| |10.9907124611353258
2009|1|5.2179245551772169
2009|2|0.47904568701448832073
2009|3|5.2672035376911747
2009|4|6.5609517540768862
2009|5|0.61428800616537046949
2009|6|1.0423554354067990
2009|7|1.9530170382331935
2009|8|0.01789236890466216159
2009|9|2.4343117660317874
2010| |7.2654013063428448
2010|1|3.8991370180617966
2010|2|0.41647237453226199026
2010|3|4.3266546817782216
2010|4|5.1351598543221316
2010|5|0.57740373730603897438
2010|6|0.82679737092130206467
2010|7|2.0010465536448705
2010|8|0.01334430865235976856
2010|9|2.2422436830691710
2011| |6.1279864137945166
2011|1|2.7422304387178868
2011|2|0.31711475055888663485
2011|3|2.9846270565603770
2011|4|3.2446161712029819
2011|5|0.44935834866429467832
2011|6|0.57675401441285291823
2011|7|1.3608695891202402
2011|8|0.00814652550687131938
2011|9|1.6718869402199962
2012| |5.1640975124109567
2012|1|4.2221492533434490
2012|2|0.30132148638605634697
2012|3|3.4289875368155482
2012|4|2.4826411535480118
2012|5|0.59759512567889795002
2012|6|0.71399548092738447052
2012|7|1.6001675285490738
2012|8|0.01159505470916654047
2012|9|1.6843316325587137
2013| |6.0222315182574632
2013|1|2.3747871532791265
2013|2|0.24624497651751527973
2013|3|3.2468152333029963
2013|4|1.9311763532853238
2013|5|0.73038848930930957946
2013|6|0.58365107281744336041
2013|7|1.6231077445469507
2013|8|0.00814652550687131938
2013|9|1.5400431715873180
2014| |5.2884444784299496
2014|1|1.9086859454442680
2014|2|0.20241367056950210735
2014|3|2.7023474488130812
2014|4|1.5452909334168977
2014|5|0.46850018467123771711
2014|6|0.31941377002708344891
2014|7|1.0422054993545253
2014|8|0.00474797498866733338
2014|9|0.89616778443993636714
2015| |7.0220550935026211
2015|1|2.2400446209691567
2015|2|0.25154271703118619909
2015|3|3.0945801615610942
2015|4|1.9447205766740485
2015|5|0.52987400873527440547
2015|6|0.42976670450053052373
2015|7|1.9193314051557011
2015|8|0.00779667471823267376
2015|9|1.1444119083211011
2016| |10.8767110827232185
2016|1|2.2043598405280148
2016|2|0.27853120644045314673
2016|3|2.7039467667040007
2016|4|2.0774639616203689
2016|5|0.52547588453524571770
2016|6|0.44610973419836439758
2016|7|1.9032882475624146
2016|8|0.00799658945459761412
2016|9|1.2365726017853386
