year|app_eth|freq_pct|count
2004|1|6|2149601
2004|2|47|15871035
2004|3|3|905144
2004|4|4|1425353
2005|1|9|3256402
2005|2|51|18466941
2005|3|2|667167
2005|4|0|70594
2006|1|10|3422984
2006|2|48|16370968
2006|3|1|406375
2006|4|0|38495
2007|1|9|2493161
2007|2|53|14177951
2007|3|1|289297
2007|4|0|4244
2008|1|8|1364997
2008|2|59|10364588
2008|3|1|168244
2008|4|0|1492
2009|1|6|1100150
2009|2|62|12120047
2009|3|1|191141
2009|4|0|1423
2010|1|6|938275
2010|2|64|10798516
2010|3|1|184073
2010|4|0|1233
2011|1|6|870837
2011|2|62|9288018
2011|3|1|145375
2011|4|0|1312
2012|1|6|1076540
2012|2|64|11983033
2012|3|1|184900
2012|4|0|2136
2013|1|6|1096963
2013|2|62|10521259
2013|3|1|170705
2013|4|0|722
2014|1|7|881693
2014|2|59|6949820
2014|3|1|114342
2014|4|0|622
2015|1|8|1080142
2015|2|58|8337962
2015|3|1|125538
2015|4|0|2235
2016|1|8|1249540
2016|2|58|9411334
2016|3|1|148366
2016|4|0|2572
