year|arid|count
2004|77756600001|3370
2004|152-2113031|2227
2004|20001644643|2163
2004|775-2921540|2018
2004|71958100003|1651
2004|751-0003820|1280
2004|765-0367752|1070
2004|20002817118|882
2004|20001843606|816
2004|20002751986|778
2004|77604800006|763
2004|71917700009|699
2004|40000008183|678
2004|77177000002|664
2004|20002977601|630
2004|77101800009|596
2004|30000025653|564
2004|736-1239445|521
2004|10000001741|518
2004|71003800004|511
2004|71259600009|495
2004|77083400004|479
2004|77900200006|464
2004|795-2622032|450
2004|70542109998|444
2004|20002752527|437
2004|77069000008|423
2004|77271100003|419
2004|20000902270|416
2004|20003236677|392
2004|77375700007|391
2004|71512400000|386
2004|20001847305|343
2004|20001942602|333
2004|71557900001|333
2004|20002598051|320
2004|20002751810|311
2004|71534900004|303
2004|751-0113718|298
2004|71999200003|295
2004|77592700002|281
2004|77775100007|271
2004|20003106181|271
2004|20000233031|257
2004|40000006069|251
2004|72007800007|246
2004|71463600006|241
2004|77431100008|234
2004|20002751762|232
2004|20002751995|215
2004|20000860473|212
2004|20001844818|211
2004|20002752022|208
2004|723-2425397|203
2004|10000014740|193
2004|71958200004|189
2004|20001845020|188
2004|20002751922|180
2004|20002751968|177
2004|20001844827|170
2004|71206600009|170
2004|756-2270727|170
2004|30000000178|169
2004|77884800009|165
2004|20003340967|165
2004|20001844984|164
2004|71857500007|164
2004|20001847163|158
2004|30000011813|155
2004|10000014761|154
2004|71100900005|150
2004|20002134936|149
2004|10000000786|149
2004|70351887380|149
2004|20003144576|147
2004|71059700002|142
2004|20002040989|136
2004|20002041007|135
2004|77185300006|133
2004|20000311845|131
2004|71483300003|130
2004|71085800002|130
2004|20002752013|129
2004|736-3440533|127
2004|77734800004|126
2004|20001847378|123
2004|40000012504|123
2004|72181809990|121
2004|71412900001|120
2004|77624400009|119
2004|358-2257419|115
2004|70232646780|113
2004|40061104540|113
2004|71830200003|111
2004|20001844948|111
2004|77811300008|108
2004|30000028178|108
2004|77909100002|105
2004|363-1131381|103
2004|71707500002|103
2004|77364800008|98
2004|20002040381|98
2004|71438500002|95
2004|20001844340|94
2004|754-1779092|91
2004|10000018480|91
2004|30000012437|90
2004|20001844359|90
2004|705-0402708|89
2004|20001426027|89
2004|40000014470|85
2004|20001844966|85
2004|20002750532|85
2004|71549600001|84
2004|111-3324993|84
2004|40000003970|83
2004|10000023446|83
2004|71393900005|83
2004|40000014939|82
2004|71785200002|81
2004|70458600405|81
2004|71061700007|81
2004|77979400002|78
2004|77854200009|77
2004|20002752321|77
2004|130-0230890|76
2004|20001844975|75
2004|10000024095|75
2004|71077600005|72
2004|20001844331|72
2004|20002751801|71
2004|71298200001|71
2004|20001845039|71
2004|20001847275|69
2004|30000010534|68
2004|20002041034|68
2004|20002751847|68
2004|71105700004|66
2004|713-2868346|65
2004|71289800005|65
2004|50000009331|65
2004|72073700008|65
2004|71084800006|64
2004|362-1662612|64
2004|20001844957|62
2004|10000014124|61
2004|72064900008|61
2004|20000659855|61
2004|794-3338516|60
2004|71851400008|60
2004|77438500006|60
2004|775-2958981|59
2004|30000000110|59
2004|40050495284|58
2004|71194900009|57
2004|50000004103|56
2004|20001844939|55
2004|752-2102740|55
2004|71738100008|55
2004|122-1092200|55
2004|10000024171|54
2004|20002752077|54
2004|702-0560839|53
2004|20002862846|53
2004|77851800005|52
2004|77289300004|52
2004|10000000869|52
2004|30000020818|51
2004|20000509811|51
2004|77082200001|50
2004|77143200009|49
2004|72120900003|49
2004|705-0560686|49
2004|30000005903|48
2004|30000016916|48
2004|701-0764768|48
2004|148-0875093|47
2004|30000027397|47
2004|40391976474|47
2004|20001216291|47
2004|40000008083|47
2004|20001844845|46
2004|72130700003|46
2004|73027509990|46
2004|71611300007|46
2004|20000612618|45
2004|30000026799|45
2004|10000024189|45
2004|704-3697858|45
2004|20002039488|44
2004|10000017927|44
2004|76426800000|44
2004|30000011817|43
2004|20001868177|43
2004|77062300004|43
2004|71939500007|42
2004|20001843624|41
2004|791-1872563|40
2004|77650700000|40
2004|30000000193|40
2004|77774500004|38
2004|20002041098|38
2004|77885300000|38
2004|722-3191019|38
2004|71843200000|38
2004|71047300008|37
2004|10000006207|37
2004|71718800007|37
2004|30000000172|37
2004|71596800005|37
2004|20002736291|36
2004|71405200006|36
2004|30000000057|35
2004|71453800005|35
2004|10000013349|35
2004|775-3000943|35
2004|30000005702|35
2004|77354100002|35
2004|77792400007|34
2004|30000016591|34
2004|10000023160|34
2004|77555300005|34
2004|10000013681|33
2004|77029800005|33
2004|20001844836|32
2004|161-0902130|32
2004|50000000234|32
2004|71994700006|32
2004|30000008878|31
2004|71399000002|31
2004|30000009846|31
2004|722-3397885|30
2004|10000023748|30
2004|77855000003|30
2004|20002750242|30
2004|50000008116|30
2004|77075200002|30
2004|20001847323|30
2004|74725909994|29
2004|72085300005|29
2004|20000576710|29
2004|71261700007|29
2004|30000000186|29
2004|30000005716|29
2004|71441900009|29
2004|20000462756|28
2004|30000020698|28
2004|338-3589255|28
2004|20002040961|28
2004|20002752684|28
2004|30000013305|28
2004|30000032623|27
2004|20001844920|27
2004|20001844993|27
