year|arid|count
2004|751-0003820|6027
2004|20002751986|4616
2004|736-1239445|4085
2004|723-2425397|2556
2004|77177000002|1960
2004|70458600405|1850
2004|30000025653|1803
2004|74216200005|1546
2004|77185300006|1387
2004|10000014761|1144
2004|20000860473|1132
2004|20002751995|1030
2004|20002977601|1022
2004|20001942602|981
2004|20002751810|962
2004|77364800008|826
2004|71958200004|744
2004|20002752077|677
2004|20002751922|650
2004|77909100002|647
2004|40000013964|602
2004|20001644643|593
2004|70232646780|584
2004|71851400008|558
2004|775-2921540|527
2004|40640713034|520
2004|77775100007|498
2004|154-1927192|475
2004|20002752321|473
2004|10000023446|452
2004|705-0402708|446
2004|148-0875093|423
2004|20003106181|418
2004|20000130943|418
2004|20002751762|400
2004|10000023748|399
2004|70542046140|343
2004|40000002630|321
2004|40000014939|316
2004|71394900006|303
2004|71958100003|299
2004|71437800009|295
2004|71259600009|284
2004|20002752022|273
2004|71512400000|273
2004|20000902270|268
2004|10000024095|268
2004|71534900004|257
2004|20002751968|255
2004|20003236677|251
2004|71405200006|242
2004|20002750242|236
2004|20001844993|231
2004|20002752684|223
2004|20002041098|222
2004|20002751847|210
2004|20001847275|207
2004|10000024256|207
2004|20002861595|205
2004|77699300007|199
2004|71856900004|166
2004|20002751801|162
2004|20003211759|134
2004|72064900008|129
2004|20002598051|117
2004|20001844920|115
2004|77083400004|110
2004|20002134936|104
2004|358-2257419|104
2004|20002752013|103
2004|20001216291|102
2004|20001844359|102
2004|20001845020|101
2004|20001847378|98
2004|77226000000|92
2004|20001844984|92
2004|20001844966|90
2004|751-0113718|87
2004|20001426027|87
2004|77289300004|86
2004|71463600006|85
2004|77884800009|84
2004|40000003970|84
2004|20000169653|83
2004|77197000003|82
2004|30000028178|80
2004|20001843624|78
2004|20001844331|74
2004|20002750532|69
2004|71399000002|68
2004|70351887380|66
2004|20002135401|64
2004|40000014470|63
2004|77343000001|63
2004|77101800009|59
2004|71390800005|57
2004|20000311845|56
2004|71770800008|56
2004|40000006069|54
2004|20001847369|54
2004|20001844939|54
2004|71830200003|53
2004|70542109998|52
2004|20002040381|51
2004|20001844818|50
2004|71474600000|47
2004|77375700007|46
2004|71194900009|46
2004|20001847323|44
2004|20002040961|43
2004|20001844957|43
2004|20001843606|43
2004|77592700002|43
