concat|count|first_lien_high|junior_lien_high|year
72007800007|170|0|0|2004
77952900006|1015|0|0|2004
20001072246|527|0|0|2004
10000007745|647|0|0|2004
40000007101|200|0|0|2004
10000012132|144|0|0|2004
30000018412|110|0|0|2004
77756600001|1077|0|0|2004
10000017437|104|0|0|2004
30000028489|221|0|0|2004
77250500004|141|0|0|2004
50000024003|105|0|0|2004
74856500006|113|113|0|2004
10000005552|193|0|0|2004
40000002794|138|0|0|2004
40000006189|133|0|0|2004
77087500006|846|0|0|2004
20000723112|105|0|0|2004
20002736451|154|0|0|2004
20000468806|151|0|0|2004
333-0862379|704|0|0|2004
10000000001|2321|0|0|2004
50000005536|106|0|0|2004
736-3440533|112|0|0|2004
20003072606|249|0|0|2004
40000004410|296|0|0|2004
40000003257|237|0|0|2004
30000016889|207|0|0|2004
40741878850|492|0|0|2004
40000008529|1541|0|0|2004
50000006694|112|0|0|2004
77245500008|204|0|0|2004
76478809997|165|0|0|2004
30000026870|131|0|0|2004
30000019835|136|0|0|2004
40000007975|146|0|0|2004
30000008663|102|0|0|2004
701-0764768|156|0|0|2004
10000024096|190|0|0|2004
10000021383|103|0|0|2004
10000007431|245|0|0|2004
20000876634|174|0|0|2004
77162800002|104|104|0|2004
30000027476|219|0|0|2004
20001966578|159|0|0|2004
73833009998|120|0|0|2004
40000017942|131|0|0|2004
77604800006|1246|0|0|2004
122-1092200|1360|0|0|2004
722-3191019|287|0|0|2004
30000021098|120|0|0|2004
40000008551|1083|0|0|2004
50000024063|117|0|0|2004
40000017022|127|0|0|2004
30000028178|259|0|0|2004
775-2585326|129|0|0|2004
40000015642|132|0|0|2004
10000014838|265|0|0|2004
30000005716|115|0|0|2004
50000008116|245|0|0|2004
71522600000|330|0|0|2004
50000012067|204|0|0|2004
77056000000|215|0|0|2004
77909100002|273|0|0|2004
75135809997|304|0|0|2004
40000006809|131|0|0|2004
40000008412|1068|0|0|2004
77892800004|1132|0|0|2004
50000062604|141|0|0|2004
20000427241|105|0|0|2004
20000245333|203|0|0|2004
30000001711|121|0|0|2004
20001445943|163|0|0|2004
77426000000|125|0|0|2004
30000017658|133|0|0|2004
75807009993|368|0|0|2004
10000020976|157|0|0|2004
30000009576|1225|0|0|2004
10000023892|274|0|0|2004
20000311845|141|0|0|2004
20003048861|102|0|0|2004
71750500009|211|0|0|2004
74856500006|119|119|0|2004
20000983448|584|0|0|2004
77699300007|1240|0|0|2004
