year|purchaser|freq_pct
2004|0|12
2004|1|0
2004|2|13
2004|3|0
2004|4|0
2004|5|0
2004|6|2
2004|7|3
2004|8|0
2004|9|1
2005|0|12
2005|1|0
2005|2|13
2005|3|0
2005|4|0
2005|5|0
2005|6|2
2005|7|3
2005|8|0
2005|9|1
2006|0|12
2006|1|0
2006|2|13
2006|3|0
2006|4|0
2006|5|0
2006|6|2
2006|7|3
2006|8|0
2006|9|1
2007|0|12
2007|1|0
2007|2|13
2007|3|0
2007|4|0
2007|5|0
2007|6|2
2007|7|3
2007|8|0
2007|9|1
2008|0|12
2008|1|0
2008|2|13
2008|3|0
2008|4|0
2008|5|0
2008|6|2
2008|7|3
2008|8|0
2008|9|1
2009|0|12
2009|1|0
2009|2|13
2009|3|0
2009|4|0
2009|5|0
2009|6|2
2009|7|3
2009|8|0
2009|9|1
2010|0|12
2010|1|0
2010|2|13
2010|3|0
2010|4|0
2010|5|0
2010|6|2
2010|7|3
2010|8|0
2010|9|1
2011|0|12
2011|1|0
2011|2|13
2011|3|0
2011|4|0
2011|5|0
2011|6|2
2011|7|3
2011|8|0
2011|9|1
2012|0|12
2012|1|0
2012|2|13
2012|3|0
2012|4|0
2012|5|0
2012|6|2
2012|7|3
2012|8|0
2012|9|1
2013|0|12
2013|1|0
2013|2|13
2013|3|0
2013|4|0
2013|5|0
2013|6|2
2013|7|3
2013|8|0
2013|9|1
2014|0|12
2014|1|0
2014|2|13
2014|3|0
2014|4|0
2014|5|0
2014|6|2
2014|7|3
2014|8|0
2014|9|1
2015|0|12
2015|1|0
2015|2|13
2015|3|0
2015|4|0
2015|5|0
2015|6|2
2015|7|3
2015|8|0
2015|9|1
2016|0|12
2016|1|0
2016|2|13
2016|3|0
2016|4|0
2016|5|0
2016|6|2
2016|7|3
2016|8|0
2016|9|1
