sum_all|count_all|mean|stdev|median|skew|kurtosis|max|min|pct_10|pct_20|pct_30|pct_40|pct_50|pct_60|pct_70|pct_80|pct_90|sum_native|count_native|mean_native|stdev_native|median_native|skew_native|kurtosis_native|max_native|min_native|pct_10_native|pct_20_native|pct_30_native|pct_40_native|pct_50_native|pct_60_native|pct_70_native|pct_80_native|pct_90_native|sum_asian|count_asian|mean_asian|stdev_asian|median_asian|skew_asian|kurtosis_asian|max_asian|min_asian|pct_10_asian|pct_20_asian|pct_30_asian|pct_40_asian|pct_50_asian|pct_60_asian|pct_70_asian|pct_80_asian|pct_90_asian|sum_black|count_black|mean_black|stdev_black|median_black|skew_black|kurtosis_black|max_black|min_black|pct_10_black|pct_20_black|pct_30_black|pct_40_black|pct_50_black|pct_60_black|pct_70_black|pct_80_black|pct_90_black|sum_islander|count_islander|mean_islander|stdev_islander|median_islander|skew_islander|kurtosis_islander|max_islander|min_islander|pct_10_islander|pct_20_islander|pct_30_islander|pct_40_islander|pct_50_islander|pct_60_islander|pct_70_islander|pct_80_islander|pct_90_islander|sum_white|count_white|mean_white|stdev_white|median_white|skew_white|kurtosis_white|max_white|min_white|pct_10_white|pct_20_white|pct_30_white|pct_40_white|pct_50_white|pct_60_white|pct_70_white|pct_80_white|pct_90_white
1340744670|6399018|209.52|186.27|164.0|46.61342982594571|19421.66303989417|99999|1|70.0|96.0|118.0|140.0|164.0|196.0|238.0|296.0|388.0|14401026|71833|200.48|148.31|164.0|4.064373846913717|58.23199876084878|5000|1|65.0|90.0|114.0|137.0|164.0|200.0|240.0|295.0|374.0|113443186|388366|292.10|196.13|258.0|17.309345692993087|2525.0456245676564|34795|1|110.0|149.0|184.0|220.0|258.0|300.0|334.0|403.0|504.0|91068520|530128|171.79|187.95|137.0|284.43027690145124|150143.02858750045|99999|1|61.0|80.0|99.0|117.0|137.0|161.0|198.0|248.0|324.0|12290385|51543|238.45|156.26|206.0|3.3981077516204676|43.39392655070442|4550|1|87.0|118.0|145.0|175.0|206.0|244.0|288.0|334.0|424.0|921382245|4507514|204.41|179.89|160.0|28.638709512790165|9764.349642935102|81500|1|70.0|95.0|116.0|136.0|160.0|189.0|228.0|284.0|373.0
1626366322|7172519|226.75|204.05|175.0|29.51716695459768|9782.851650685649|99999|1|73.0|100.0|124.0|147.0|175.0|210.0|256.0|320.0|428.0|16693488|74235|224.87|197.89|184.0|33.70034203246434|3392.4467155541506|21212|1|68.0|97.0|123.0|150.0|184.0|224.0|272.0|333.0|425.0|141364990|433438|326.15|261.87|288.0|129.62282922311704|48469.103147067166|99999|1|120.0|162.0|201.0|244.0|288.0|334.0|380.0|457.0|568.0|127521999|688364|185.25|150.43|143.0|10.720759470012682|748.9152616176083|20000|1|65.0|84.0|102.0|121.0|143.0|171.0|210.0|268.0|359.0|15406786|55688|276.66|181.77|240.0|2.6539172488601768|22.548006851461334|4030|4|97.0|130.0|164.0|200.0|240.0|284.0|335.0|400.0|500.0|1129969673|5094898|221.78|194.46|172.0|10.964833115783303|1311.8967001472136|49805|1|74.0|100.0|123.0|145.0|172.0|204.0|248.0|308.0|412.0
1558440868|6544294|238.14|232.48|184.0|74.5175401993154|27464.686052241297|99999|1|76.0|104.0|129.0|153.0|184.0|220.0|268.0|335.0|447.0|14438106|60384|239.10|178.11|196.0|3.158923535337949|30.181102296558205|4000|1|72.0|102.0|131.0|160.0|196.0|238.0|288.0|356.0|454.0|121170603|358256|338.22|227.75|293.0|3.835176164112978|64.5357345536344|12000|1|123.0|166.0|206.0|249.0|293.0|342.0|400.0|476.0|600.0|148138115|724855|204.37|161.04|157.0|5.001137213177611|129.5819433506352|13000|1|70.0|91.0|112.0|133.0|157.0|190.0|234.0|296.0|400.0|14177285|47882|296.09|194.34|256.0|2.7952559917105986|27.674822189663924|5000|1|103.1|141.0|179.0|216.0|256.0|301.0|356.0|420.0|532.0|1073514445|4623504|232.19|222.03|180.0|58.987643990917114|21634.816073202306|99999|1|76.0|103.0|128.0|151.0|180.0|213.0|258.0|320.0|423.0
1244237634|5002533|248.72|265.38|191.0|80.68851975619494|26624.764428629416|99999|1|80.0|109.0|135.0|160.0|191.0|228.0|276.0|347.0|448.0|10016794|42787|234.11|187.87|190.0|5.138838871813011|85.33475402182951|6000|1|70.0|100.0|129.0|157.0|190.0|228.0|280.0|345.0|430.0|102918167|293987|350.08|305.90|300.0|119.83217818751211|38332.71308028995|99999|1|127.0|172.0|213.0|256.0|300.0|353.0|410.0|480.0|612.0|106061812|491565|215.76|173.08|169.0|6.387752671080062|190.26028790929644|12350|1|72.0|97.0|120.0|143.0|169.0|203.0|248.0|310.0|412.0|10462363|35090|298.16|206.71|256.0|3.302320315601343|28.95113604408763|4592|1|101.0|143.0|180.0|217.6|256.0|300.0|356.0|417.0|534.0|871710467|3641237|239.40|244.63|185.0|61.51856909597674|20013.265986719984|99999|1|78.0|106.0|131.0|156.0|185.0|219.0|262.0|328.0|417.0
673527046|2705955|248.91|258.59|198.0|53.69592492951106|13140.579304390154|95000|1|78.0|110.0|137.0|165.0|198.0|235.0|284.0|350.0|417.0|4506508|20936|215.25|172.65|180.0|5.056636841824133|66.81422824332023|4200|1|64.0|95.0|121.0|148.0|180.0|214.0|256.499999999998|315.0|400.0|71276134|221309|322.07|216.67|285.0|3.9951537705625446|50.83737206264195|8733|1|122.0|165.0|202.0|244.0|285.0|330.0|384.0|417.0|545.0|33111590|158116|209.41|165.23|168.0|4.321304299000156|51.71749552788467|4680|1|66.0|92.0|116.0|140.0|168.0|203.0|250.0|309.0|399.0|4661115|16958|274.86|183.00|244.0|3.307120793832939|31.387448943091364|3900|1|96.0|135.0|171.0|206.0|244.0|285.0|333.0|392.0|456.0|484348234|2034701|238.04|251.57|189.0|70.47035583569627|19032.514229637232|95000|1|76.0|105.0|132.0|158.0|189.0|223.0|269.0|333.0|417.0
407596122|1749013|233.04|224.86|184.0|34.27306352141389|7325.245128662777|67200|1|70.0|100.0|126.0|152.0|184.0|220.0|268.0|332.0|417.0|2389492|12962|184.35|151.89|147.0|3.263408560503743|23.495520981509298|2500|1|50.0|75.0|99.0|121.0|147.0|178.599999999999|216.0|269.0|360.0|52242835|176733|295.60|198.59|259.0|3.4523180364399817|31.253832083144744|5000|1|108.0|150.0|185.0|220.0|259.0|300.0|351.0|412.0|504.0|11829244|64820|182.49|169.05|143.0|7.20654095869349|168.34351682149847|8580|1|49.0|74.0|96.0|119.0|143.0|171.0|209.0|267.0|360.0|2206219|8741|252.40|326.49|211.0|50.93024696340082|3786.890202015416|25000|1|80.0|115.0|144.0|177.0|211.0|250.0|300.0|360.0|417.0|295429275|1329976|222.13|215.66|175.0|45.788068518694814|11113.611798704867|67200|1|68.0|98.0|120.0|146.0|175.0|208.0|252.0|315.0|416.0
425150057|1775478|239.46|227.31|190.0|28.392621207713578|5750.196981349102|64750|1|72.0|102.0|130.0|158.0|190.0|227.0|275.0|340.0|417.0|2166113|11565|187.30|157.71|148.0|3.345534540360357|24.119334005898278|2500|1|50.0|74.0|98.0|121.0|148.0|180.0|216.0|271.200000000001|374.0|50893095|163449|311.37|209.81|272.0|3.394872467013416|32.19680491095866|5500|1|113.0|155.0|196.0|232.0|272.0|315.0|368.0|417.0|548.0|11115767|60026|185.18|173.16|148.0|15.954115075932267|999.664449170281|15000|1|50.0|76.0|100.0|122.0|148.0|177.0|216.0|272.0|360.0|1991846|7601|262.05|210.82|220.0|6.725769556752763|108.64733858231587|5500|6|87.0|123.0|156.0|189.0|220.0|260.0|309.0|371.0|444.0|313942339|1371011|228.99|218.97|180.0|37.20316597729095|8527.250026701278|64750|1|70.0|100.0|125.0|150.0|180.0|216.0|260.0|322.0|417.0
372039518|1537420|241.99|249.17|185.0|49.60848357068695|17027.259624400544|99999|1|69.0|100.0|125.0|152.0|185.0|224.0|273.0|341.0|417.0|1722033|9121|188.80|170.72|148.0|4.652023745069641|57.07578455515045|4240|1|48.0|72.0|97.0|120.0|148.0|177.0|218.0|273.0|375.0|43479071|138278|314.43|230.18|268.0|4.114728414307179|58.36105573930191|10000|1|106.0|150.0|189.0|226.0|268.0|312.0|369.0|417.0|566.0|9692622|54203|178.82|162.97|140.0|5.61804177555748|85.89456796795325|4900|1|47.0|71.0|94.0|115.0|140.0|167.0|203.0|261.0|352.0|1723449|6705|257.04|201.72|209.0|3.3177644104212827|25.266713086077264|3597|1|77.0|112.0|144.0|176.0|209.0|250.0|300.0|371.0|464.0|277255540|1196920|231.64|240.45|178.0|67.03253170976846|25090.348781809185|99999|1|67.0|97.0|122.0|149.0|178.0|214.0|260.0|325.0|417.0
462275210|1857131|248.92|243.37|195.0|13.018925733175218|1074.5871301104614|45000|1|74.0|104.0|132.0|160.0|195.0|232.0|280.0|349.0|417.0|2072047|10750|192.75|188.48|152.0|9.235454893561425|206.56576841765101|6490|1|50.0|75.0|100.0|127.0|152.0|185.0|225.0|278.200000000001|368.0|53030324|163633|324.08|239.86|276.0|3.7923476972742374|39.487540664356914|9700|1|112.0|154.0|196.0|234.0|276.0|320.0|380.0|417.0|580.0|11935183|64590|184.78|166.51|147.0|8.56407595031097|285.29988912931185|10000|1|50.0|75.0|99.0|121.0|147.0|176.0|215.0|270.0|358.099999999999|2064545|7818|264.08|201.73|220.0|3.1897460909621707|19.56474898578566|3000|1|83.0|119.0|152.0|187.0|220.0|262.0|311.0|375.0|460.0|347714354|1461633|237.89|227.20|187.0|14.920709204418916|1602.7810223300544|45000|1|72.0|101.0|128.0|155.0|187.0|222.0|268.0|332.0|417.0
619582871|2375833|260.79|249.54|204.0|19.33096527369005|3780.045232331987|76000|1|80.0|114.0|142.0|172.0|204.0|244.0|294.0|360.0|452.0|2824083|13561|208.25|177.85|168.0|4.973995365845894|62.191629778400674|4000|1|55.0|86.0|115.0|140.0|168.0|200.0|245.0|300.0|392.0|74847702|215435|347.43|254.98|297.0|3.897020737135247|40.28795505627307|8295|1|122.0|169.0|210.0|252.0|297.0|345.0|400.0|465.0|613.0|16772021|83434|201.02|170.74|162.0|8.487062395617102|309.9266070206086|11192|1|58.0|86.0|112.0|136.0|162.0|198.0|238.0|292.0|379.0|2742788|10011|273.98|194.96|238.0|3.0397489505514295|21.30629419506696|3400|1|90.0|130.0|163.0|200.0|238.0|279.0|324.0|387.0|480.0|463782642|1868428|248.22|233.07|198.0|24.9583907425196|6120.400688038149|76000|1|79.0|110.0|138.0|165.0|198.0|233.0|279.0|343.0|417.0
