sum_all|count_all|mean|stdev|median|skew|kurtosis|max|min|pct_10|pct_20|pct_30|pct_40|pct_50|pct_60|pct_70|pct_80|pct_90|sum_native|count_native|mean_native|stdev_native|median_native|skew_native|kurtosis_native|max_native|min_native|pct_10_native|pct_20_native|pct_30_native|pct_40_native|pct_50_native|pct_60_native|pct_70_native|pct_80_native|pct_90_native|sum_asian|count_asian|mean_asian|stdev_asian|median_asian|skew_asian|kurtosis_asian|max_asian|min_asian|pct_10_asian|pct_20_asian|pct_30_asian|pct_40_asian|pct_50_asian|pct_60_asian|pct_70_asian|pct_80_asian|pct_90_asian|sum_black|count_black|mean_black|stdev_black|median_black|skew_black|kurtosis_black|max_black|min_black|pct_10_black|pct_20_black|pct_30_black|pct_40_black|pct_50_black|pct_60_black|pct_70_black|pct_80_black|pct_90_black|sum_islander|count_islander|mean_islander|stdev_islander|median_islander|skew_islander|kurtosis_islander|max_islander|min_islander|pct_10_islander|pct_20_islander|pct_30_islander|pct_40_islander|pct_50_islander|pct_60_islander|pct_70_islander|pct_80_islander|pct_90_islander|sum_white|count_white|mean_white|stdev_white|median_white|skew_white|kurtosis_white|max_white|min_white|pct_10_white|pct_20_white|pct_30_white|pct_40_white|pct_50_white|pct_60_white|pct_70_white|pct_80_white|pct_90_white
96593717|1117846|86.41|89.68|71.0|30.285203219593445|2089.2889827074773|9999|1|37.0|47.0|54.0|62.0|71.0|81.0|93.0|110.0|143.0|1291546|15695|82.29|90.77|70.0|31.41063180297256|1530.9192642201917|5160|2|36.4000000000001|46.0|54.0|61.0|70.0|78.0|89.0|104.0|132.0|6598240|63398|104.08|95.92|90.0|34.267802117864406|2488.409329138726|9832|1|48.0|60.0|71.0|80.0|90.0|101.0|114.0|132.0|167.0|8873588|115576|76.78|79.62|65.0|39.832446808670234|3357.24737782533|9360|1|35.0|42.0|50.0|57.0|65.0|73.0|84.0|99.0|125.0|1215848|13403|90.71|102.76|78.0|51.963330448980955|4276.954545434929|9000|1|42.0|53.0|61.0|70.0|78.0|88.0|99.0|114.0|143.0|64571914|746469|86.50|89.60|71.0|29.257072651777413|1981.582717942177|9999|1|37.0|46.0|54.0|62.0|71.0|81.0|93.0|110.0|144.0
171533867|1888219|90.84|91.98|74.0|29.58631904879363|2103.055707276569|9999|1|38.0|48.0|57.0|65.0|74.0|85.0|98.0|117.0|151.0|1954301|21987|88.88|86.55|76.0|31.90293485299786|2041.5159501615917|6751|1|39.0|49.0|58.0|67.0|76.0|86.0|98.0|114.0|144.0|12213696|107777|113.32|101.23|96.0|30.57269580199482|2055.5949953559743|9999|1|52.0|64.0|75.0|86.0|96.0|109.0|125.0|147.0|182.0|19012469|237739|79.97|78.92|67.0|36.37028433408757|2842.790710219703|9299|1|35.0|43.0|51.0|59.0|67.0|77.0|88.0|104.0|132.0|1979321|19724|100.35|112.35|85.0|43.663935983883285|3349.602415471143|9999|1|44.0|55.0|66.0|75.0|85.0|96.0|110.0|129.0|162.0|118764420|1313231|90.44|90.42|74.0|27.296360561944105|1875.1963927171805|9999|1|39.0|48.0|56.0|65.0|74.0|84.0|97.0|115.0|150.0
210334008|2026113|103.81|104.98|84.0|27.02882866393757|1810.4457444741995|9999|1|43.0|54.0|63.0|73.0|84.0|96.0|112.0|135.0|177.0|2083930|20149|103.43|94.35|86.0|20.77597450700801|996.4510756210364|5760|1|43.0|55.0|66.0|75.0|86.0|99.0|114.0|136.0|174.0|14430447|112633|128.12|107.51|108.0|22.14857290753514|1333.713722752167|9999|1|56.0|70.0|83.0|95.0|108.0|124.0|144.0|168.0|210.0|24604893|263117|93.51|85.64|77.0|24.117133296558183|1642.977516020319|9999|1|39.0|49.0|58.0|67.0|77.0|89.0|102.0|123.0|160.0|2286874|19371|118.06|105.18|99.0|18.64276985600303|788.4447837501996|6000|1|49.0|63.0|75.0|86.0|99.0|114.0|131.0|156.0|193.0|144670054|1405353|102.94|106.82|83.0|28.94459114182519|2001.2107855463437|9999|1|43.0|54.0|63.0|72.0|83.0|95.0|110.0|132.0|174.0
109124309|931260|117.18|146.51|93.0|33.54673518909819|1992.2789423182433|9999|1|45.0|58.0|70.0|81.0|93.0|107.0|125.0|150.0|199.0|902616|8356|108.02|91.17|90.0|7.354833796002836|107.82542732850368|2212|1|42.0|55.0|66.0|78.0|90.0|103.0|118.0|140.0|179.0|8327086|60485|137.67|163.07|116.0|36.37465862522509|1973.0055606383992|9999|1|59.0|75.0|88.0|102.0|116.0|132.0|151.0|178.0|224.0|8877139|83738|106.01|127.80|85.0|37.99157055659824|2593.83704715852|9999|1|40.0|52.0|62.0|73.0|85.0|99.0|116.0|140.0|180.0|997089|7833|127.29|205.12|105.0|35.304005901048676|1571.3753690618537|9999|3|49.0|65.0|78.0|91.0|105.0|120.0|140.0|164.0|208.0|77517353|672950|115.19|136.18|91.0|31.27890792400266|1935.8258960543367|9999|1|45.0|57.0|68.0|79.0|91.0|105.0|122.0|148.0|196.0
20235807|154649|130.85|148.33|100.0|15.74348780826761|578.2063966421616|9257|1|41.0|53.0|67.0|83.0|100.0|120.0|144.0|177.0|240.0|147793|1435|102.99|94.82|74.0|3.6842711889453286|20.124208227120146|943|6|35.0|46.0|54.0|63.0|74.0|90.0|111.0|138.2|192.0|1808920|12284|147.26|121.14|124.0|13.377046318408617|531.5742676780882|6180|1|55.0|76.0|93.0|108.0|124.0|143.0|165.0|195.0|249.0|920794|9396|98.00|144.42|67.0|23.863604319537313|956.8552473752862|7402|1|32.0|40.0|47.0|55.0|67.0|83.0|106.0|138.0|186.0|133071|1137|117.04|101.84|93.0|4.740649807773744|41.2422876710272|1433|8|39.6|50.0|64.0|78.0|93.0|112.0|132.0|157.8|216.0|14488865|112042|129.32|149.08|98.0|16.555533953805604|635.0396168583254|9257|1|41.0|53.0|66.0|81.0|98.0|117.0|140.0|174.0|240.0
7547931|62695|120.39|157.22|85.0|21.662266893871056|1043.9873035062137|9999|1|35.0|46.0|56.0|69.0|85.0|104.0|129.0|166.0|231.0|46865|490|95.64|93.96|69.0|4.786794819136954|38.90711381880785|1137|12|31.0|40.0|47.7|57.0|69.0|84.0|100.9|130.0|192.0|509674|3719|137.05|128.84|104.0|6.4220186321064485|89.52523385107968|2940|4|44.0|58.0|72.0|89.0|104.0|123.8|151.0|190.0|262.0|304751|3766|80.92|159.85|52.0|18.22641013505568|462.2827706589806|5050|1|29.0|35.0|40.0|46.0|52.0|59.0|70.0|92.0|147.0|36238|342|105.96|90.04|79.5|3.26653506446254|16.016890356097733|795|12|37.1|48.0|57.0|70.0|79.5|99.0|118.7|143.0|189.0|5997835|49485|121.21|157.12|86.0|23.95863614521505|1241.5361135534126|9999|1|36.0|46.0|57.0|70.0|86.0|105.0|130.0|167.0|233.0
6353532|57992|109.56|135.71|74.0|18.16821491475778|871.7469776737914|9999|1|32.0|40.0|49.0|60.0|74.0|94.0|119.0|155.0|220.0|39982|373|107.19|243.67|73.0|16.385213799073583|297.40074977816124|4550|4|31.0|39.0|50.0|60.0|73.0|86.0|106.0|127.0|187.2|362274|2827|128.15|127.50|98.0|8.951238220914727|186.35005697043547|3500|5|40.0|53.0|66.0|80.0|98.0|115.6|141.0|180.0|240.0|299779|4395|68.21|131.51|45.0|23.376262004673485|801.6671658433828|5470|1|27.0|32.0|36.0|40.0|45.0|51.0|59.0|73.0|119.0|31162|272|114.57|126.19|67.0|3.5261860740408886|17.66499142132674|1090|20|35.0|43.0|49.0|59.4|67.0|85.8|112.7|153.8|239.8|5077236|45616|111.30|127.36|76.0|13.121672028105808|498.1720880100821|8035|1|32.0|41.0|50.0|61.0|76.0|97.0|122.0|158.0|223.0
6118682|58373|104.82|186.13|62.0|26.33615838774202|1183.3143259067854|9999|1|30.0|37.0|44.0|52.0|62.0|78.0|104.0|144.0|213.0|32352|407|79.49|76.02|55.0|3.8845411500281686|21.997273172415017|720|12|31.0|37.0|41.8|48.0|55.0|68.0|80.0|99.8|151.0|326156|2600|125.44|131.52|85.0|5.134703139022444|47.67341915388186|1956|1|33.0|44.0|55.0|69.6000000000001|85.0|110.0|145.0|185.0|250.0|327001|5330|61.35|104.00|46.0|37.49239044125596|2061.273017552598|6036|1|27.0|32.0|37.0|41.0|46.0|51.0|58.0|67.0|90.1000000000004|28483|353|80.69|65.93|60.0|2.387180996617515|6.5258645564477185|403|15|31.0|38.0|45.0|52.0|60.0|69.0|78.0|101.2|162.8|4776654|45532|104.91|165.26|64.0|27.535901705164694|1423.5707668213954|9999|1|30.0|37.0|45.0|53.0|64.0|81.0|108.0|147.0|216.0
6242635|58756|106.25|153.52|62.0|16.935019372610313|721.896431768798|9999|1|30.0|38.0|45.0|52.0|62.0|78.0|107.0|152.0|221.0|33611|408|82.38|81.12|53.0|3.1151487888375295|13.106359974399743|659|1|29.7|35.4|41.0|47.0|53.0|62.0|76.0|111.6|173.6|337793|2554|132.26|143.12|92.0|4.598833327570471|33.436293084116414|1672|7|33.0|44.0|56.0|70.0|92.0|117.0|149.0|193.0|254.0|294421|4862|60.56|63.92|46.0|10.038220444663038|210.54908498888443|1950|1|27.0|33.0|37.0|41.0|46.0|51.0|58.0|68.0|96.0|33285|371|89.72|314.08|57.0|18.332138377240234|346.814247694227|6031|7|32.0|38.0|44.0|52.0|57.0|65.0|75.0|95.0|137.0|4941401|46597|106.05|130.68|64.0|8.88876120454816|180.52811324656577|5100|1|31.0|38.0|45.0|53.0|64.0|80.0|110.0|155.0|223.0
7649022|64932|117.80|174.91|72.0|18.657292826704815|712.7557832834506|9999|1|33.0|41.0|50.0|59.0|72.0|93.0|125.0|168.0|236.0|42935|481|89.26|73.76|63.0|2.562022358776051|9.166773870746162|610|14|33.0|40.0|47.0|55.0|63.0|75.0|96.0|126.0|174.0|461449|3197|144.34|152.41|114.0|9.617389606414354|174.88569535076974|3601|1|41.0|54.0|69.0|90.0|114.0|137.0|169.0|203.0|264.4|358620|5045|71.08|89.79|51.0|12.493289097378733|298.8085530510944|3001|1|30.0|36.0|41.0|45.6000000000001|51.0|56.0|64.0|78.0|118.6|38668|395|97.89|101.44|63.0|3.538731519338276|18.16457676126301|952|3|33.0|39.0|47.0|55.0|63.0|75.0|94.8|132.4|202.4|5944397|51560|115.29|150.75|72.0|18.481570844542468|829.8569356391079|9999|1|33.0|41.0|50.0|60.0|72.0|93.0|125.0|167.0|235.0
