arid|co_sex_rows|co_app_sex|lender_rows|year
795-4830942|550|5|550|2004
795-4537645|286|4|286|2004
77428000003|692|5|692|2004
71723400002|166|4|166|2004
70495100001|66|4|66|2004
70330756645|1099|3|1099|2004
313-3804500|55|5|55|2004
313-3399559|63|4|63|2004
20002723750|81|4|81|2004
20001074736|84|5|84|2004
125-1885222|51|4|51|2004
795-4537645|312|4|312|2005
77428000003|512|5|512|2005
77307200009|1269|5|1269|2005
71723400002|145|5|145|2005
70495100001|97|4|97|2005
313-3399559|58|4|58|2005
20002723750|123|4|123|2005
20001074736|101|5|101|2005
125-1885222|51|5|51|2005
10000023005|51|4|51|2005
795-4659941|1201|5|1201|2006
795-4537645|302|4|302|2006
794-3306143|149|5|149|2006
775-2958981|2706|5|2706|2006
734-1180767|1396|5|1396|2006
71723400002|131|4|131|2006
70495100001|166|4|166|2006
40000013181|1031|5|1031|2006
313-3399559|51|4|51|2006
20003317295|257|4|257|2006
20003267484|111|4|111|2006
20002723750|81|4|81|2006
73833709994|1517|5|1517|2007
733-0668958|1543|5|1543|2007
71723400002|136|4|136|2007
713-3403204|546|4|546|2007
70495100001|201|4|201|2007
50000021751|73|5|73|2007
335-1805251|71|5|71|2007
313-3399559|50|4|50|2007
30000057430|77|5|77|2007
20003317295|280|4|280|2007
20003267484|454|4|454|2007
20001576230|63|4|63|2007
131-1712553|407|5|407|2007
73833709994|1812|5|1812|2008
723-2413444|80|4|80|2008
356-2224037|168|4|168|2008
30000005649|2570|5|2570|2008
20003317295|321|4|321|2008
131-1712553|387|5|387|2008
10000024680|88|5|88|2008
723-2413444|66|4|66|2009
713-3602661|66|4|66|2009
356-2224037|120|5|120|2009
30000005649|2376|5|2376|2009
20003317295|251|4|251|2009
10000024680|72|5|72|2009
731-1712553|125|4|125|2010
727-0812934|185|4|185|2010
72066009995|67|4|67|2010
720-4459706|442|5|442|2010
71047300008|58|5|58|2010
356-2224037|162|5|162|2010
335-1805251|83|5|83|2010
20003317295|200|4|200|2010
956-2224037|218|5|218|2011
920-1511553|258|4|258|2011
731-1712553|175|4|175|2011
727-0812934|233|4|233|2011
72066009995|63|4|63|2011
720-4459706|496|5|496|2011
720-4273610|75|5|75|2011
713-3602661|239|5|239|2011
71047300008|79|5|79|2011
335-1805251|101|5|101|2011
956-2224037|150|5|150|2012
795-4441070|282|5|282|2012
794-3159818|200|4|200|2012
780-0312140|827|5|827|2012
754-1690128|102|4|102|2012
745-3508295|235|4|235|2012
731-1712553|206|4|206|2012
727-0812934|294|4|294|2012
720-4459706|462|5|462|2012
720-4273610|128|5|128|2012
713-3602661|433|5|433|2012
335-1805251|123|5|123|2012
30000058626|117|5|117|2012
956-2224037|141|5|141|2013
794-3159818|106|4|106|2013
788-0209429|1971|5|1971|2013
780-0312140|704|5|704|2013
754-1690128|202|3|202|2013
745-3508295|195|4|195|2013
731-1712553|197|4|197|2013
727-0882098|203|5|203|2013
727-0812934|323|4|323|2013
720-4459706|490|5|490|2013
720-4273610|113|5|113|2013
713-3602661|278|5|278|2013
71047300008|874|5|874|2013
50000061404|66|5|66|2013
335-1805251|112|4|112|2013
30000029147|116|5|116|2013
956-2224037|118|5|118|2014
780-0312140|733|5|733|2014
754-1690128|128|4|128|2014
747-0833531|63|5|63|2014
745-3508295|234|4|234|2014
731-1712553|119|4|119|2014
727-2767591|57|4|57|2014
727-0812934|295|5|295|2014
720-4459706|447|5|447|2014
720-4273610|85|5|85|2014
713-3602661|205|5|205|2014
71047300008|981|5|981|2014
50000061404|70|5|70|2014
335-1805251|78|4|78|2014
20004004574|80|5|80|2014
956-2224037|142|5|142|2015
952-0945480|66|4|66|2015
794-3159818|84|5|84|2015
780-0312140|977|5|977|2015
754-1690128|52|3|52|2015
747-0833531|64|5|64|2015
745-3508295|328|5|328|2015
731-1712553|166|4|166|2015
727-2767591|139|5|139|2015
727-0812934|172|5|172|2015
726-2916887|112|5|112|2015
720-4459706|509|5|509|2015
720-4273610|78|5|78|2015
713-3602661|168|5|168|2015
71047300008|1015|5|1015|2015
50000061404|72|3|72|2015
20004004574|152|5|152|2015
956-2224037|160|5|160|2016
90003138146|58|5|58|2016
794-3159818|82|5|82|2016
780-0312140|785|5|785|2016
758-1865166|706|5|706|2016
754-1690128|56|3|56|2016
747-0833531|90|5|90|2016
745-3508295|365|5|365|2016
731-1712553|163|4|163|2016
727-2056826|1895|5|1895|2016
727-0812934|208|5|208|2016
726-2916887|210|5|210|2016
720-4459706|445|5|445|2016
720-4273610|99|5|99|2016
713-3602661|167|5|167|2016
71047300008|885|5|885|2016
50000061404|65|3|65|2016
335-1805251|56|5|56|2016
30000017001|109|5|109|2016
20004004574|103|5|103|2016
10000707674|203|5|203|2016
