arid|sex_rows|app_sex|lender_rows|year
795-4537645|286|4|286|2004
77428000003|692|3|692|2004
71723400002|166|4|166|2004
71589900007|824|3|824|2004
70495100001|66|4|66|2004
70330756645|1099|3|1099|2004
313-3804500|55|4|55|2004
313-3399559|63|4|63|2004
20003317295|72|4|72|2004
20002917915|172|4|172|2004
20002723750|81|4|81|2004
20001074736|84|4|84|2004
125-1885222|51|4|51|2004
795-4537645|312|4|312|2005
77428000003|512|3|512|2005
71723400002|145|4|145|2005
70495100001|97|4|97|2005
313-3399559|58|4|58|2005
20002723750|123|4|123|2005
125-1885222|51|4|51|2005
10000023005|51|4|51|2005
795-4537645|302|4|302|2006
71723400002|131|4|131|2006
70495100001|166|4|166|2006
313-3399559|51|4|51|2006
30000016022|366|4|366|2006
20003317295|257|4|257|2006
20003267484|111|4|111|2006
20002723750|81|4|81|2006
131-1712553|158|4|158|2006
125-1885222|66|4|66|2006
71723400002|136|4|136|2007
713-3403204|546|4|546|2007
70495100001|201|4|201|2007
335-1805251|71|4|71|2007
313-3399559|50|4|50|2007
20003317295|280|4|280|2007
20003267484|454|4|454|2007
20002723750|145|4|145|2007
20001576230|63|4|63|2007
131-1712553|407|4|407|2007
723-2413444|80|4|80|2008
356-2224037|168|4|168|2008
30000005649|2570|3|2570|2008
20003317295|321|4|321|2008
131-1712553|387|4|387|2008
723-2413444|66|4|66|2009
356-2224037|120|4|120|2009
30000005649|2376|3|2376|2009
20003317295|251|4|251|2009
20001074736|83|4|83|2009
731-1712553|125|4|125|2010
727-0812934|185|4|185|2010
72066009995|67|4|67|2010
356-2224037|162|4|162|2010
335-1805251|83|4|83|2010
30000005694|374|1|374|2010
20003317295|200|4|200|2010
20001074736|108|4|108|2010
956-2224037|218|4|218|2011
952-1075143|122|4|122|2011
920-1511553|258|4|258|2011
731-1712553|175|4|175|2011
727-0812934|233|4|233|2011
72066009995|63|4|63|2011
720-4273610|75|4|75|2011
713-3602661|239|4|239|2011
956-2224037|150|4|150|2012
952-1075143|125|4|125|2012
794-3159818|200|4|200|2012
780-0312140|827|4|827|2012
754-1690128|102|4|102|2012
745-3508295|235|4|235|2012
731-1712553|206|4|206|2012
727-0812934|294|4|294|2012
720-4273610|128|4|128|2012
713-3602661|433|4|433|2012
30000058626|117|4|117|2012
956-2224037|141|4|141|2013
952-1075143|107|4|107|2013
913-1500700|65|4|65|2013
794-3159818|106|4|106|2013
780-0312140|704|4|704|2013
754-1690128|202|3|202|2013
745-3508295|195|4|195|2013
731-1712553|197|4|197|2013
727-0882098|203|4|203|2013
727-0812934|323|4|323|2013
720-4273610|113|4|113|2013
720-0142846|3585|2|3585|2013
713-3602661|278|4|278|2013
50000067681|68|3|68|2013
50000061404|66|3|66|2013
335-1805251|112|4|112|2013
20004004574|84|4|84|2013
956-2224037|118|4|118|2014
952-1075143|99|4|99|2014
780-0312140|733|4|733|2014
754-1690128|128|4|128|2014
745-3508295|234|4|234|2014
731-1712553|119|4|119|2014
727-2767591|57|4|57|2014
727-0812934|295|4|295|2014
720-4273610|85|4|85|2014
720-0142846|1160|2|1160|2014
713-3602661|205|4|205|2014
50000061404|70|3|70|2014
50000002073|88|3|88|2014
335-1805251|78|4|78|2014
20004004574|80|4|80|2014
956-2224037|142|4|142|2015
952-1075143|131|4|131|2015
952-0945480|66|4|66|2015
794-3159818|84|4|84|2015
780-0312140|977|4|977|2015
754-1690128|52|3|52|2015
747-0833531|64|4|64|2015
745-3508295|328|4|328|2015
736-4771976|197|3|197|2015
735-2486440|6970|4|6970|2015
731-1712553|166|4|166|2015
727-2767591|139|4|139|2015
727-0812934|172|4|172|2015
726-2916887|112|4|112|2015
720-4273610|78|4|78|2015
713-3602661|168|4|168|2015
50000061404|72|3|72|2015
20004004574|152|4|152|2015
956-2224037|160|4|160|2016
952-1075143|151|4|151|2016
90000112819|50|4|50|2016
794-3159818|82|4|82|2016
780-0312140|785|4|785|2016
754-1690128|56|3|56|2016
747-0833531|90|4|90|2016
745-3508295|365|4|365|2016
731-1712553|163|4|163|2016
727-2767591|119|4|119|2016
727-2056826|1895|4|1895|2016
727-0812934|208|4|208|2016
726-2916887|210|4|210|2016
720-4273610|99|4|99|2016
713-3602661|167|4|167|2016
520-1129884|203|3|203|2016
50000061404|65|3|65|2016
335-1805251|56|4|56|2016
327-2560497|58|4|58|2016
20004004574|103|4|103|2016
10000707674|203|4|203|2016
10000024612|68|4|68|2016
