year|state|count
2004|06|5348035
2004|12|2411564
2004|48|2096810
2004|17|1384136
2004|36|1313759
2004|42|1236274
2004|26|1233318
2004|39|1154079
2004|51|999796
2004|13|996973
2004|04|929528
2004|34|928725
2004|24|837181
2004|37|798610
2004|53|791215
2004|08|751731
2004|25|729644
2004|29|633193
2004|18|623207
2004|47|587003
2004|27|577951
2004|55|545758
2004|NA|542180
2004|32|498922
2004|41|411973
2004|01|406619
2004|09|406557
2004|45|391974
2004|22|373206
2004|21|341826
2004|49|317163
2004|40|298020
2004|20|240489
2004|19|232611
2004|28|213037
2004|72|212926
2004|05|200809
2004|35|172345
2004|33|162510
2004|16|159302
2004|31|144085
2004|44|142671
2004|23|127050
2004|54|124281
2004|15|115759
2004|10|114525
2004|30|75242
2004|11|61120
2004|46|54334
2004|02|50038
2004|56|47662
2004|50|46989
2004|38|35748
2004|na|11
2005|06|5511038
2005|12|3007029
2005|48|2145151
2005|17|1467571
2005|36|1340588
2005|04|1274920
2005|26|1264887
2005|42|1256312
2005|39|1160108
2005|13|1158985
2005|51|1078077
2005|34|1067696
2005|24|954093
2005|53|890722
2005|37|887936
2005|08|789871
2005|25|734262
2005|29|692547
2005|18|647426
2005|47|637293
2005|27|615355
2005|32|603816
2005|NA|601271
2005|55|584692
2005|41|500079
2005|45|448249
2005|09|424904
2005|01|423895
2005|49|366532
2005|22|360143
2005|21|343710
2005|40|316286
2005|20|253006
2005|19|248480
2005|28|207894
2005|05|207507
2005|72|206839
2005|35|198672
2005|16|198364
2005|33|170338
2005|44|146616
2005|31|139625
2005|23|139436
2005|15|130902
2005|54|127334
2005|10|126765
2005|30|77502
2005|11|69530
2005|46|56038
2005|02|55085
2005|50|52730
2005|56|51789
2005|38|37340
2006|06|4919273
2006|12|2912471
2006|48|2077073
2006|17|1386588
2006|36|1298124
2006|42|1194743
2006|04|1176048
2006|13|1156414
2006|26|1096678
2006|39|1032611
2006|34|1010502
2006|51|1001055
2006|24|887733
2006|37|884499
2006|53|870545
2006|08|718356
2006|25|660938
2006|NA|657628
2006|29|655509
2006|47|609465
2006|18|592435
2006|55|542560
2006|27|540111
2006|32|528450
2006|41|466008
2006|45|447679
2006|01|413391
2006|09|380656
2006|49|376201
2006|22|329914
2006|21|317097
2006|40|299063
2006|20|230889
2006|19|230632
2006|35|214455
2006|16|198741
2006|05|195479
2006|28|194689
2006|72|166120
2006|33|148993
2006|23|129670
2006|31|129222
2006|15|123943
2006|44|122820
2006|10|120465
2006|54|119139
2006|30|77743
2006|11|67788
2006|02|56397
2006|46|53274
2006|56|50305
2006|50|50090
2006|38|34688
2007|06|3433324
2007|12|2009944
2007|48|1727705
2007|17|1123171
2007|36|1011325
2007|42|995971
2007|13|901505
2007|34|811247
2007|04|803133
2007|51|787595
2007|26|782129
2007|37|781126
2007|39|779687
2007|53|726075
2007|NA|688905
2007|24|658709
2007|08|540776
2007|29|534448
2007|47|515959
2007|25|508419
2007|18|475546
2007|55|463622
2007|27|398166
2007|45|383849
2007|41|382582
2007|01|372206
2007|32|330056
2007|49|320933
2007|09|302240
2007|22|301464
2007|21|288645
2007|40|251979
2007|19|199849
2007|20|195642
2007|05|180117
2007|35|179163
2007|28|174686
2007|16|158014
2007|72|142671
2007|33|116809
2007|31|113748
2007|54|108828
2007|23|103063
2007|10|102435
2007|15|97849
2007|44|88860
2007|30|73271
2007|11|53537
2007|56|48502
2007|02|48179
2007|46|47979
2007|50|43959
2007|38|32490
2008|06|1888396
2008|48|1212874
2008|12|969544
2008|17|767739
2008|42|717445
2008|36|653448
2008|13|587139
2008|37|582307
2008|51|544010
2008|NA|542101
2008|39|535657
2008|34|521086
2008|53|491721
2008|26|476468
2008|04|430474
2008|24|396650
2008|29|384644
2008|08|372757
2008|47|372560
2008|55|360552
2008|18|350760
2008|25|339468
2008|01|289753
2008|45|276350
2008|27|274181
2008|41|254004
2008|49|230859
2008|22|225426
2008|21|216388
2008|40|195914
2008|09|194836
2008|32|166482
2008|19|157908
2008|20|148161
2008|05|144064
2008|28|139012
2008|72|121117
2008|35|115643
2008|16|109629
2008|31|88753
2008|54|83315
2008|33|78990
2008|23|74488
2008|10|69353
2008|15|60542
2008|30|56285
2008|44|52055
2008|46|41282
2008|02|36656
2008|56|36053
2008|11|33749
2008|50|33219
2008|38|28973
2009|06|2198859
2009|48|1249002
2009|17|852154
2009|12|809914
2009|42|770928
2009|36|648846
2009|51|641449
2009|39|627954
2009|37|626048
2009|34|615494
2009|13|614496
2009|53|593003
2009|26|506070
2009|NA|496101
2009|25|495090
2009|08|494023
2009|55|477187
2009|24|469650
2009|29|451598
2009|04|442259
2009|18|422722
2009|47|412431
2009|27|380693
2009|41|302853
2009|01|298534
2009|45|294313
2009|49|280610
2009|21|248060
2009|09|237160
2009|22|234629
2009|40|221789
2009|19|200338
2009|20|176947
2009|32|169095
2009|05|162543
2009|28|138886
2009|16|125910
2009|35|124147
2009|72|118474
2009|31|117375
2009|33|102920
2009|23|89534
2009|54|79807
2009|10|72796
2009|15|72791
2009|30|72745
2009|44|63858
2009|46|53097
2009|02|51112
2009|50|46692
2009|11|43679
2009|56|41946
2009|38|35881
2010|06|2030460
2010|48|1095372
2010|17|736745
2010|12|683767
2010|42|676945
2010|39|572428
2010|36|549473
2010|51|528351
2010|37|524719
2010|34|510731
2010|53|484583
2010|13|478285
2010|25|472734
2010|26|431176
2010|08|423160
2010|55|411111
2010|24|391430
2010|18|374875
2010|29|372876
2010|04|356343
2010|47|344141
2010|27|341936
2010|NA|329058
2010|01|255597
2010|41|249266
2010|45|242767
2010|21|226648
2010|22|219718
2010|49|218028
2010|09|211866
2010|40|182271
2010|19|179219
2010|20|156975
2010|05|145406
2010|32|128109
2010|28|122631
2010|31|108795
2010|35|106072
2010|16|96669
2010|33|88442
2010|72|83406
2010|23|77661
2010|54|68881
2010|10|58837
2010|15|58022
2010|44|57188
2010|30|55864
2010|46|46414
2010|02|42135
2010|11|39091
2010|50|38300
2010|38|33887
2010|56|33116
2011|06|1917516
2011|48|1040715
2011|12|652336
2011|17|621764
2011|42|593821
2011|36|504054
2011|39|489551
2011|51|483427
2011|37|476454
2011|34|454653
2011|13|445597
2011|53|407914
2011|25|401284
2011|26|397759
2011|08|368374
2011|24|347694
2011|55|324145
2011|18|322354
2011|04|313451
2011|29|309676
2011|47|304811
2011|27|283588
2011|NA|281722
2011|01|228534
2011|45|218163
2011|22|211161
2011|41|208171
2011|21|204476
2011|09|178346
2011|49|167947
2011|40|164104
2011|19|151319
2011|05|127857
2011|20|126255
2011|32|113337
2011|28|106852
2011|35|90846
2011|31|90629
2011|72|85316
2011|16|78384
2011|33|75319
2011|23|65974
2011|54|65159
2011|15|52577
2011|10|52065
2011|44|48904
2011|30|46704
2011|46|38652
2011|11|37674
2011|02|37380
2011|50|32967
2011|38|30214
2011|56|28500
2012|06|2548473
2012|48|1223359
2012|12|921781
2012|17|754799
2012|42|698185
2012|51|635284
2012|39|619324
2012|37|579929
2012|26|573677
2012|36|568466
2012|13|565174
2012|34|545632
2012|25|534806
2012|53|520145
2012|08|476844
2012|04|458136
2012|24|441551
2012|55|398233
2012|29|385456
2012|18|385351
2012|27|383212
2012|47|373350
2012|NA|316307
2012|41|269359
2012|45|267569
2012|01|263038
2012|21|240089
2012|49|231999
2012|22|223679
2012|09|219492
2012|40|189290
2012|19|184305
2012|32|160692
2012|05|154202
2012|20|150144
2012|28|119884
2012|31|113945
2012|35|108375
2012|16|103816
2012|33|93511
2012|72|90293
2012|23|79331
2012|54|71780
2012|15|70172
2012|10|65327
2012|44|62921
2012|30|57247
2012|46|48761
2012|11|48745
2012|02|46656
2012|50|38236
2012|38|37601
2012|56|34128
2013|06|2168472
2013|48|1255700
2013|12|953239
2013|17|636903
2013|42|619793
2013|39|579201
2013|51|563462
2013|37|562611
2013|13|540510
2013|36|539629
2013|26|521487
2013|34|460282
2013|53|448513
2013|04|434613
2013|08|431891
2013|25|405965
2013|24|386051
2013|47|359121
2013|29|347468
2013|18|345421
2013|27|332392
2013|55|306248
2013|NA|269372
2013|45|260128
2013|01|254203
2013|41|241429
2013|22|219531
2013|21|215409
2013|49|198376
2013|09|187371
2013|40|180790
2013|19|160765
2013|32|152661
2013|05|146259
2013|20|134983
2013|28|115756
2013|35|102302
2013|16|98471
2013|31|97180
2013|72|96529
2013|33|80777
2013|54|71769
2013|23|70914
2013|15|63202
2013|10|59330
2013|30|56505
2013|44|52912
2013|46|43384
2013|11|42990
2013|02|39518
2013|38|35539
2013|56|33009
2013|50|33001
2014|06|1416054
2014|48|996799
2014|12|719325
2014|17|430112
2014|42|420706
2014|39|389367
2014|36|389277
2014|37|387592
2014|13|386414
2014|51|360929
2014|26|354842
2014|04|310768
2014|53|307683
2014|08|306945
2014|34|282487
2014|NA|264317
2014|47|262821
2014|18|243957
2014|24|243369
2014|25|239543
2014|29|228460
2014|27|216509
2014|55|204262
2014|45|188850
